"Id","EZI_ADD","Geographical.Coordinate","Archetype","BDIAgentType","HasDependents","WillGoHomeAfterVisitingDependents","WillGoHomeBeforeLeaving","WillStay","ResponseThresholdInitial","ResponseThresholdFinal","ImpactFromVisibleSmoke","ImpactFromImmersionInSmoke","ImpactFromVisibleEmbers","ImpactFromVisibleFire","ImpactFromVisibleResponders","ImpactFromMessageAdvice","ImpactFromMessageWatchAndAct","ImpactFromMessageEmergencyWarning","ImpactFromMessageEvacuateNow","ImpactFromMessageRespondersAttending","ImpactFromFireDangerIndexRating","ImpactFromSocialMessage","LagTimeInMinsForInitialResponse","LagTimeInMinsForFinalResponse","HasDependentsAtLocation"
10,"1629 LITTLE YARRA ROAD POWELLTOWN 3797","[145.7495987, -37.86233665908527]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","false","false","false",0.37,0.49,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,14.62,18.73,""
11,"11 SURREY ROAD POWELLTOWN 3797","[145.75551376999994, -37.86602270908523]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","true","false","false",0.32,0.53,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,18.29,16.31,"[145.68341171999992, -37.844590059085384]"
12,"1590 LITTLE YARRA ROAD POWELLTOWN 3797","[145.74567604, -37.86125344908528]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","false","false","false",0.33,0.61,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,18.09,9.6,""
13,"15 SURREY ROAD POWELLTOWN 3797","[145.75626138999993, -37.86548894908522]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","true","true","false",0.35,0.58,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,14.1,12.1,"[145.73409618000002, -37.86000176908528]"
14,"1780 LITTLE YARRA ROAD POWELLTOWN 3797","[145.76463460099998, -37.86663379208521]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","true","false","false",0.26,0.49,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,24.6,16.66,"[145.65092935999994, -37.86048609908529]"
15,"15 RECREATION ROAD POWELLTOWN 3797","[145.74784553999993, -37.86336982908524]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","false","true","false",0.31,0.57,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,14.83,13.15,""
16,"15 RECREATION ROAD POWELLTOWN 3797","[145.74784553999993, -37.86336982908524]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","true","true","false",0.41,0.66,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,16.14,16.39,""
17,"1485 LITTLE YARRA ROAD POWELLTOWN 3797","[145.73409618000002, -37.86000176908528]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","true","false","false",0.33,0.35,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,15.57,14.85,"[145.64466815, -37.81320885908563]"
18,"1180 LITTLE YARRA ROAD THREE BRIDGES 3797","[145.70132318, -37.85401905908531]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","true","false","false",0.29,0.48,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,14.93,15.09,""
19,"1010 LITTLE YARRA ROAD THREE BRIDGES 3797","[145.68529813999996, -37.845881919085386]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","true","false","false",0.13,0.52,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,11.85,17.53,""
20,"49 HACKETTS CREEK ROAD THREE BRIDGES 3797","[145.68961875, -37.85990864908531]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","true","true","false",0.11,0.46,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,18.08,14.76,""
21,"COLES ROAD THREE BRIDGES 3797","[145.68707441, -37.842994269085416]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","false","false","false",0.26,0.64,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,16.28,11.91,"[145.74934863999997, -37.86435281908522]"
22,"125 BLACKSANDS ROAD THREE BRIDGES 3797","[145.6825014, -37.82932148908551]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","true","true","false",0.44,0.51,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,18.18,17.08,""
23,"11 HACKETTS CREEK ROAD THREE BRIDGES 3797","[145.69081274999994, -37.85345988908533]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","true","true","false",0.45,0.55,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,14.12,16.35,""
24,"45 MT BRIDE ROAD THREE BRIDGES 3797","[145.74041270999996, -37.828974599085505]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","false","true","false",0.09,0.63,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,19.87,13.94,""
25,"85 COLES ROAD THREE BRIDGES 3797","[145.6840349899999, -37.83893709908544]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","false","true","false",0.28,0.54,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,12.63,17.11,"[145.64848930999992, -37.81675249908564]"
26,"1005 LITTLE YARRA ROAD THREE BRIDGES 3797","[145.68635243000003, -37.84496884908538]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","true","true","false",0.42,0.42,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,12.52,18.34,"[145.65032188, -37.81912901908562]"
27,"160 BLACKSANDS ROAD THREE BRIDGES 3797","[145.68528447000003, -37.83448979908546]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","false","true","false",0.16,0.46,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,15.19,12.58,""
28,"1075 LITTLE YARRA ROAD THREE BRIDGES 3797","[145.68968819999995, -37.84892303908534]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","true","true","false",0.37,0.43,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,17.28,21.46,""
29,"23 HACKETTS CREEK ROAD THREE BRIDGES 3797","[145.69035240000002, -37.85570792908533]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","true","false","false",0.4,0.34,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,17.51,15.8,""
30,"590 BLACKSANDS ROAD THREE BRIDGES 3797","[145.73036943999998, -37.8394910190855]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","true","true","false",0.34,0.34,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,14.86,10.31,""
31,"1090 LITTLE YARRA ROAD THREE BRIDGES 3797","[145.69096874999997, -37.85106725908531]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","false","true","false",0.37,0.59,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,14.18,15.16,""
32,"775 LITTLE YARRA ROAD THREE BRIDGES 3797","[145.67056676, -37.83079162908556]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","false","false","false",0.28,0.7,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,16.89,17.28,"[145.64246807999993, -37.81129015908566]"
33,"BLACKSANDS ROAD THREE BRIDGES 3797","[145.68236520000002, -37.83008157908553]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","false","true","false",0.41,0.46,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,12.07,17.45,""
34,"LITTLE YARRA ROAD THREE BRIDGES 3797","[145.68456013, -37.844589409085394]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","true","false","false",0.15,0.58,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,17.09,11.38,""
35,"5 HACKETTS CREEK ROAD THREE BRIDGES 3797","[145.69105463999992, -37.851993519085376]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","true","false","false",0.35,0.5,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,18.53,10.84,"[145.75178972, -37.86318907908526]"
36,"1010 LITTLE YARRA ROAD THREE BRIDGES 3797","[145.68529813999996, -37.845881919085386]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","false","false","false",0.21,0.4,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,14.48,16.01,"[145.68635243000003, -37.84496884908538]"
37,"500 LITTLE YARRA ROAD GLADYSDALE 3797","[145.64790805999993, -37.81651007908561]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","true","false","false",0.5,0.51,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,8.92,11.06,""
38,"518 LITTLE YARRA ROAD GLADYSDALE 3797","[145.64921137999997, -37.81793097908565]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","true","true","false",0.36,0.54,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,20.9,13.16,""
39,"750 LITTLE YARRA ROAD GLADYSDALE 3797","[145.66745606999993, -37.8310297490855]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","true","true","false",0.32,0.59,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,17.35,16.24,"[145.64990311799997, -37.8190261870856]"
40,"750 LITTLE YARRA ROAD GLADYSDALE 3797","[145.66745606999993, -37.8310297490855]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","true","true","false",0.31,0.45,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,18.28,15.83,""
41,"526 LITTLE YARRA ROAD GLADYSDALE 3797","[145.64980361, -37.81828066908559]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","false","true","false",0.14,0.46,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,22.54,14.3,"[145.64312611, -37.858633929085265]"
42,"505 LITTLE YARRA ROAD GLADYSDALE 3797","[145.64857583, -37.816244529085644]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","false","true","false",0.29,0.56,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,20.25,15.56,""
43,"525 LITTLE YARRA ROAD GLADYSDALE 3797","[145.65040338999992, -37.81798069908563]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","true","true","false",0.37,0.4,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,12.51,16.95,""
44,"80 HAZELDENE ROAD GLADYSDALE 3797","[145.64714911999994, -37.828424739085555]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","true","true","false",0.33,0.44,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,14.73,12.61,""
45,"20 RYMERS ROAD GLADYSDALE 3797","[145.64070654999998, -37.86039950908526]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","true","true","false",0.4,0.6,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,14.85,20.84,"[145.743336, -37.86361281908528]"
46,"527 LITTLE YARRA ROAD GLADYSDALE 3797","[145.65058053999994, -37.818235079085625]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","false","false","false",0.19,0.53,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,21.32,13.42,""
47,"70 RYMERS ROAD GLADYSDALE 3797","[145.64529704999993, -37.8623720990853]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","true","false","false",0.6,0.56,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,20.13,16.89,""
48,"436 LITTLE YARRA ROAD GLADYSDALE 3797","[145.64338018, -37.81247201908564]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","true","false","false",0.32,0.41,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,13.77,15.53,""
49,"522 LITTLE YARRA ROAD GLADYSDALE 3797","[145.6494119, -37.818149579085656]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","false","true","false",0.33,0.6,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,10.09,12.19,"[145.68787283999993, -37.847460809085334]"
50,"1 ST BENEDICTS DRIVE GLADYSDALE 3797","[145.65523553, -37.85820307908529]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","false","false","false",0.17,0.63,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,17.48,10.94,"[145.75995092, -37.86660304908523]"
51,"130 ST BENEDICTS DRIVE GLADYSDALE 3797","[145.64696481999997, -37.86071346908528]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","true","true","false",0.29,0.35,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,16.31,16.51,""
52,"MCMASTERS ROAD GLADYSDALE 3797","[145.66128221999995, -37.824941069085575]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","true","true","false",0.4,0.34,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,14.1,14.27,""
53,"5A HAZELDENE ROAD GLADYSDALE 3797","[145.65385181299993, -37.8245289850856]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","true","true","false",0.28,0.58,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,12.84,19.24,""
54,"541 LITTLE YARRA ROAD GLADYSDALE 3797","[145.65130807, -37.81946009908564]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","true","false","false",0.2,0.4,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,16.56,15.33,""
55,"46 HAZELDENE ROAD GLADYSDALE 3797","[145.6504281799999, -37.826371609085555]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","true","true","false",0.26,0.47,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,12.89,18.06,""
56,"535 LITTLE YARRA ROAD GLADYSDALE 3797","[145.65096578999996, -37.81891542908558]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","true","true","false",0.11,0.52,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,16.92,18.39,""
57,"511 LITTLE YARRA ROAD GLADYSDALE 3797","[145.64923147, -37.816950479085634]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","false","true","false",0.07,0.53,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,18.32,14,""
58,"LITTLE YARRA ROAD GLADYSDALE 3797","[145.64732783299993, -37.81549105808563]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","true","false","false",0.22,0.42,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,19.31,15.11,"[145.74932023999995, -37.86265039908529]"
59,"451 LITTLE YARRA ROAD GLADYSDALE 3797","[145.64472075, -37.81272815908566]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","false","true","false",0.37,0.69,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,16.07,17.12,"[145.75617593, -37.865905669085244]"
60,"415 LITTLE YARRA ROAD GLADYSDALE 3797","[145.64167098999994, -37.81030974908567]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","false","false","false",0.3,0.63,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,12.56,6.49,"[145.64333906, -37.837709039085446]"
61,"473 LITTLE YARRA ROAD GLADYSDALE 3797","[145.64688544999998, -37.81402891908565]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","true","true","false",0.35,0.53,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,20.8,13.65,"[145.65431255999997, -37.8577436390853]"
62,"475 LITTLE YARRA ROAD GLADYSDALE 3797","[145.64684066999993, -37.81437618908566]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","false","true","false",0.33,0.49,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,17.06,10.43,""
63,"385 HAZELDENE ROAD GLADYSDALE 3797","[145.65469214999993, -37.85148717908538]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","true","true","false",0.36,0.54,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,18.28,10.4,""
64,"600 LIBERA ROAD GLADYSDALE 3797","[145.61634458099996, -37.85319584608533]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","true","true","false",0.39,0.48,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,18.11,17.17,"[145.64148992999998, -37.84063660908541]"
65,"675 LITTLE YARRA ROAD GLADYSDALE 3797","[145.66126672999994, -37.82666658908554]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","true","true","false",0.34,0.53,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,20.48,14.89,"[145.65328173999998, -37.82497957908556]"
66,"10 ST BENEDICTS DRIVE GLADYSDALE 3797","[145.65431255999997, -37.8577436390853]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","false","true","false",0.11,0.47,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,16.17,15.37,"[145.69081274999994, -37.85345988908533]"
67,"451 LITTLE YARRA ROAD GLADYSDALE 3797","[145.64472075, -37.81272815908566]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","false","true","false",0.25,0.6,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,9.8,11.6,"[145.68961875, -37.85990864908531]"
68,"46 HAZELDENE ROAD GLADYSDALE 3797","[145.6504281799999, -37.826371609085555]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","true","false","false",0.38,0.66,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,16.12,15.79,""
69,"505 LITTLE YARRA ROAD GLADYSDALE 3797","[145.64857583, -37.816244529085644]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","false","false","false",0.19,0.37,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,16.61,12.47,""
70,"610 LITTLE YARRA ROAD GLADYSDALE 3797","[145.6554710599999, -37.82482417908559]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","true","false","false",0.34,0.37,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,12.73,10.75,""
71,"29 HAZELDENE ROAD GLADYSDALE 3797","[145.65191023999998, -37.82584118908555]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","true","true","false",0.32,0.52,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,11.57,12.84,"[145.65226689999994, -37.85984023908526]"
72,"65B ST BENEDICTS DRIVE GLADYSDALE 3797","[145.65029790999992, -37.86102152908529]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","false","true","false",0.44,0.46,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,12.92,17.7,""
73,"503 LITTLE YARRA ROAD GLADYSDALE 3797","[145.6486234699999, -37.81590544908562]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","true","true","false",0.34,0.44,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,15.2,14.34,"[145.64536029999996, -37.86071512908532]"
74,"477 LITTLE YARRA ROAD GLADYSDALE 3797","[145.64705757, -37.8146097290856]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","true","false","false",0.3,0.56,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,22.19,15.09,""
75,"405 HAZELDENE ROAD GLADYSDALE 3797","[145.65550855, -37.85218777908536]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","true","true","false",0.24,0.56,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,12.92,13.16,"[145.6554710599999, -37.82482417908559]"
76,"507 LITTLE YARRA ROAD GLADYSDALE 3797","[145.64903534999993, -37.81636980908568]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","false","true","false",0.29,0.57,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,11.61,14.26,""
77,"405 LITTLE YARRA ROAD GLADYSDALE 3797","[145.64115548999993, -37.80992526908571]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","false","false","false",0.33,0.37,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,15.63,14.27,"[145.68097515999997, -37.84155707908539]"
78,"610C PARKINSONS ROAD GLADYSDALE 3797","[145.642512569, -37.83072562008551]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","true","true","false",0.37,0.42,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,13.4,12.3,"[145.65392695399996, -37.824248975085574]"
79,"85 RYMERS ROAD GLADYSDALE 3797","[145.6474540299999, -37.861434029085245]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","true","false","false",0.39,0.43,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,8.29,15.83,"[145.66348199, -37.836136989085446]"
80,"475 LITTLE YARRA ROAD GLADYSDALE 3797","[145.64684066999993, -37.81437618908566]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","false","false","false",0.4,0.48,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,15.96,13.58,"[145.68978850999994, -37.85866679908529]"
